"","Switch.Name","Manufacturer","Type","Push.Feel","Wobble","Sound","Total"
"1","Alpaca V2","Durock/JWK","Linear",32,22,9,63
"2","U4T (62g)","Outemu","Tactile",32,23,8,63
"3","Everglide V3 'Water King' (60g)","Durock/JWK","Linear",32,24,7,63
"4","TTC Neptune","TTC","Linear",31,23,8,62
"5","TTC OG Rabbit","TTC","Silent Linear",31,23,8,62
"6","Gazzew U4 Boba 68g (Sample)","Outemu","Silent Tactile",28,24,9,61
"7","Gateron Speed Silver Pro","Gateron","Linear",31,21,9,61
"8","Keyfirst Bling Blue","Unknown","Linear",32,21,8,61
"9","Bobagum (62g)","Outemu","Silent Linear",28,23,8,59
"10","Tecsee Purple Panda","Tecsee","Tactile",29,22,8,59
"11","Holy Panda X","Gateron","Tactile",31,23,5,59
"12","Kinetic Labs Gecko","Gateron","Silent Linear",28,23,8,59
"13","Invokeys Black Sesame","Aflion","Linear",32,20,7,59
"14","Nixie Black","Cherry","Linear",29,21,8,58
"15","KTT Strawberry","KTT","Linear",30,20,8,58
"16","Aflion Black and Orange","Aflion","Tactile",28,23,7,58
"17","Wuque Studio Morandi","Haimu","Linear",31,19,8,58
"18","Durock POM Linear (Sample)","Durock/JWK","Linear",29,22,6,57
"19","Seriko","Durock/JWK","Silent Linear",29,21,7,57
"20","Invokeys Matcha Latte","Aflion","Linear",29,20,8,57
"21","Zeal Pearlio","Gateron","Linear",29,22,6,57
"22","Zeal Clickiez 75g. (Clicky)","Gateron","Clicky",29,19,9,57
"23","Kailh Midnight Pro Light Yellow","Kailh","Silent Tactile",28,21,8,57
"24","Kailh Midnight Pro Grey","Kailh","Silent Linear",29,21,7,57
"25","Lavenders","Durock/JWK","Linear",29,20,7,56
"26","C3 Kiwi","Durock/JWK","Tactile",29,19,8,56
"27","Quartz","Durock/JWK","Linear",30,21,5,56
"28","Gateron Oil King","Gateron","Linear",30,19,7,56
"29","Kailh Christmas Tree","Kailh","Linear",30,18,8,56
"30","TTC Tiger","TTC","Linear",29,22,5,56
"31","Penguins","Durock/JWK","Tactile",27,22,6,55
"32","Gateron Pro Yellow","Gateron","Linear",27,21,7,55
"33","SP Star Magic Girl (Classic)","SP Star","Tactile",30,17,8,55
"34","Harimau","Durock/JWK","Tactile",30,19,6,55
